"course","code","degree","dept"
"Psychiatric Nursing L8 Yr 1","MA-NPsy1-SPSYC81","BSc","Mayo"
"(Hons) in Psychiatric Nursing Yr 2","MA-NPsy2-SPSYC82","BSc","Mayo"
"Psychiatric Nursing Yr 3","MA-NPsy3-SPSYC83","BSc","Mayo"
"Psychiatric Nursing Yr 4","MA-NPsy4-SPSYC83","BSc","Mayo"
"Early Childhood Education and Care","MA-N-SECHC","Unknown","Mayo"
"Outdoor Education & Leisure L7 Yr 1","MA-OE1-HOELC71","BA","Mayo"
"Outdoor Education & Leisure L7 Yr 2","MA-OE2-HOELC72","BA","Mayo"
"Outdoor Education and Leisure L7 Yr 3","MA-OE3-HOELC73","BA","Mayo"
"Supervisory Management  Yr 1","MA-SUPMAN1-BSVMC71","Unknown","Mayo"
"Outdoor Education & Leisure L8 Yr 4","M-HOEDC84","BA","Mayo"
"General Nursing L8 Yr 1","M-NGen1-SGENC81","BSc","Mayo"
