"id","room","capacity","campus"
"149","G0304 CR6 - General Science Lab","24","Galway"
"150","G0306 Biology Lab","18","Galway"
"151","G0309 Biology Lab","20","Galway"
"152","G0310 Biology Lab","20","Galway"
"153","G0315a Physicst Lab","16","Galway"
"154","G0315b Physicst Lab","16","Galway"
"155","G0315c Physicst Lab","16","Galway"
"156","G0318 Aquatic Science Lab","18","Galway"
"157","G0347 Exam Room","85","Galway"
"158","G0351","20","Galway"
"159","G0364","57","Galway"
"160","G0365","57","Galway"
"161","G0366","57","Galway"
"162","G0367a","2","Galway"
"163","G0367b","2","Galway"
"164","G0368","38","Galway"
"165","G0369","38","Galway"
"166","G0370","38","Galway"
"167","G0373","39","Galway"
"168","G0374","47","Galway"
"169","G0375","32","Galway"
"170","G0376","35","Galway"
"171","G0377","35","Galway"
"172","G0378","45","Galway"
"173","G0379","35","Galway"
"174","G0380","42","Galway"
"175","G0402 Biochemistry Lab","18","Galway"
"176","G0405 Biochem/Chemistry Lab","18","Galway"
"177","G0411 Chromotography Lab","20","Galway"
"178","G0422 Electro Chem Lab","18","Galway"
"179","G0436 CR5","25","Galway"
"180","G0450 Grey Lab","16","Galway"
"181","G0451 Microbiology Lab","18","Galway"
"182","G0470 Computing Practical Lab","35","Galway"
"183","G0471 Med Lab","18","Galway"
"184","G0475 Molecular Biology Lab","24","Galway"
"185","G0476 Food Science Lab/Wine Room","16","Galway"
"186","G0478 Green Lab","24","Galway"
"187","G0479 Blue Lab","24","Galway"
"188","G0480 CR7","24","Galway"
"189","G0481 CR4","21","Galway"
"190","G0482 CR3","25","Galway"
"191","G0483 CR2","22","Galway"
"192","G0484 CR1","20","Galway"
"193","G0501 Electronic CAD Lab","24","Galway"
"194","G0502 Physics Lab","20","Galway"
"195","G0506 Computer Lab","20","Galway"
"196","G0507 Computer Lab","16","Galway"
"197","G0508 Computer Lab","20","Galway"
"198","G0511 Lab","16","Galway"
"199","G0526/7 City of Galway Training Rest & Bar","50","Galway"
"200","G0526/7 IQ Bar","50","Galway"
"201","G0550 Unit 6","16","Galway"
"202","G0552 Demo Theatre","110","Galway"
"203","G0559 Unit 8 Pastry Kitchen","16","Galway"
"204","G0560 Accommodation and Front Office Suite","32","Galway"
"205","G0602 Chemistry Lab","20","Galway"
"206","G0603 Lab","20","Galway"
"207","G0610 Organic Chemistry Lab","18","Galway"
"208","G0615 Unit 9","20","Galway"
"209","G0616 Unit 1","16","Galway"
"210","G0623 Unit 3","16","Galway"
"211","G0625 Unit 4","16","Galway"
"212","G0626 Unit 5","16","Galway"
"213","G0629 Microbiology Lab","18","Galway"
"214","G0632 Retail Lab","20","Galway"
